name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at,Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Recreation and Parks Properties
Noe Valley Courts - Tennis Court Drinking Fountains,7411922416728633771,drinking_water,1,0,0,0,37.75124298,-122.43900086,24th & Douglass St,San Francisco,CA,94114,Noe Valley Courts,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.439000859 37.751242977),8,Noe Valley,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,51,3,5,22,132
Southeast Community Center Water Fountain,8220617072435247540,drinking_water,1,0,0,0,37.742691,-122.387441,1550 Evans Ave,San Francisco,CA,94124,,limited_access,07:00:00,19:00:00,Weekdays,,puc,POINT (-122.387441 37.742691),10,Bayview Hunters Point,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,76,2,9,1,
"Little Embarcadero, J C Decaux",2190890175057459878,restroom,0,0,0,0,37.8084547,-122.4129262,49 Jefferson Street,San Francisco,CA,94133,,publicly_accessible,,,Daily,J C Decaux,port,POINT (-122.4129262 37.8084547),3,North Beach,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,99,6,3,23,
Golden Gate Park - Section 1 - Kezar Stadium Drinking Fountain,8100919214628771485,drinking_water,1,0,0,0,37.7663337,-122.45492153,755 Stanyan,San Francisco,CA,94122,Golden Gate Park - Section 1,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.454921529 37.766333702),5,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,7,11,12,229
Grattan Clubhouse,4454891534355363438,restroom,0,0,0,0,37.76275999994231,-122.45197359463144,1180 Stanyan St,San Francisco,CA,94117,Grattan Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.451973595 37.76276),8,Haight Ashbury,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,114,7,11,3,172
Woh Hei Yuen Clubhouse,6335645547559891312,restroom,0,0,0,0,37.79566305889684,-122.41036014796207,922 Jackson Street,San Francisco,CA,94133,Woh Hei Yuen Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.410360148 37.795663059),3,Chinatown,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,16,6,3,6,91
"Heron's Head Park, Eco Center",3013277213648008590,drinking_water,1,1,0,1,37.740119,-122.37597,32 Jennings Street,San Francisco,CA,94124,,publicly_accessible,,,Daily,Near entrance/on park path,port,POINT (-122.37597 37.740119),10,Bayview Hunters Point,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,56,2,9,1,
John McLaren Park - Drinking Fountain/Cooler,1327710262483953289,drinking_water,1,0,0,1,37.72214668,-122.42056918,Mansell & Visitacion,San Francisco,CA,94134,John McLaren Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.420569177 37.722146679),9,McLaren Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,73,9,2,19,7
Glen Canyon Park - Drinking Fountain/Cooler,5285142657961475424,drinking_water,1,0,0,1,37.73655267,-122.44078843,Elk Street & O'Shaughnessy Blvd,San Francisco,CA,94131,Glen Canyon Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.440788435 37.736552673),8,Glen Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,96,9,5,10,239
Portsmouth Square - Concrete Pathway Drinking Fountain,4953331443556349059,drinking_water,1,0,0,0,37.79508448,-122.40538466,Washington & Walter Lum Place,San Francisco,CA,94108,Portsmouth Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.405384659 37.795084477),3,Chinatown,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,104,6,3,6,127
Garfield Square Community Pool,5735591419346594273,restroom,0,0,0,0,37.74997657477497,-122.41197072448084,26th & Harrison St,San Francisco,CA,94110,Garfield Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.411970724 37.749976575),9,Mission,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,53,3,2,20,165
Portsmouth Square Bathrooms,5603727937050556653,restroom,0,0,0,0,37.79461140159618,-122.4056381047682,Washington & Walter Lum Pl,San Francisco,CA,94108,Portsmouth Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.405638105 37.794611402),3,Chinatown,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,104,6,3,6,127
